declared_band,model,split_index,predicted_pc,ci_lower,ci_upper,band_label,model_display
0,light_gcn,36,0.5082597365958156,0.4845157620772788,0.5320037111143524,Conservative,LightGCN
0,profile_coherent_light_gcn,36,0.9047631023400239,0.8874287869053284,0.9220974177747193,Conservative,Profile-Coherent LightGCN
0,random_forest,36,0.36274739553374186,0.3571036241684654,0.3683911668990183,Conservative,Random Forest
1,light_gcn,36,0.9076880093797619,0.9032630894594337,0.9121129293000901,Income,LightGCN
1,profile_coherent_light_gcn,36,1.0168723609813797,1.0144423858991873,1.019302336063572,Income,Profile-Coherent LightGCN
1,random_forest,36,0.567545791489552,0.5648290304682634,0.5702625525108406,Income,Random Forest
2,light_gcn,36,0.914002969303391,0.9096017823212409,0.9184041562855411,Balanced,LightGCN
2,profile_coherent_light_gcn,36,1.008198879798481,1.0055868594296926,1.0108109001672696,Balanced,Profile-Coherent LightGCN
2,random_forest,36,0.8094018676541834,0.8070405724621508,0.8117631628462161,Balanced,Random Forest
3,light_gcn,36,0.4966574241223085,0.48546135783446426,0.5078534904101528,Aggressive,LightGCN
3,profile_coherent_light_gcn,36,0.7665947442626563,0.7566412730450482,0.7765482154802643,Aggressive,Profile-Coherent LightGCN
3,random_forest,36,0.6851976535542521,0.6818095182934737,0.6885857888150305,Aggressive,Random Forest
